SlaveArrivied:0
SlaveArrivied:1
SlaveArrivied:2
SlaveArrivied:3
SlaveArrivied:4
SlaveArrivied:5
type;exec;direction;nb_clusters;size;time
Hello1
SlaveGotOut:0
SlaveGotOut:4
SlaveGotOut:2
SlaveGotOut:1
SlaveGotOut:5
SlaveGotOut:3
SlaveArrivied:6
SlaveGotOut:6
Hello2
UsandoChannel!
SlaveArrivied:7
SlaveGotOut:7
channel;1;master-slave;8;1;49739
channel;1;master-slave;8;2;173
channel;1;master-slave;8;4;167
channel;1;master-slave;8;8;160
channel;1;master-slave;8;16;164
channel;1;master-slave;8;32;167
channel;1;master-slave;8;64;162
channel;1;master-slave;8;128;168
channel;1;master-slave;8;256;177
channel;1;master-slave;8;512;196
channel;1;master-slave;8;1024;232
channel;1;master-slave;8;2048;305
channel;1;master-slave;8;4096;454
channel;1;master-slave;8;8192;755
channel;1;master-slave;8;16384;1353
channel;1;master-slave;8;32768;2544
channel;1;master-slave;8;65536;4916
channel;1;master-slave;8;131072;9678
channel;1;master-slave;8;262144;19191
channel;1;master-slave;8;524288;38228
channel;1;master-slave;8;1048576;76239
channel;1;slave-master;8;1;399
channel;1;slave-master;8;2;332
channel;1;slave-master;8;4;357
channel;1;slave-master;8;8;357
channel;1;slave-master;8;16;329
channel;1;slave-master;8;32;355
channel;1;slave-master;8;64;385
channel;1;slave-master;8;128;398
channel;1;slave-master;8;256;397
channel;1;slave-master;8;512;395
channel;1;slave-master;8;1024;397
channel;1;slave-master;8;2048;397
channel;1;slave-master;8;4096;548
channel;1;slave-master;8;8192;596
channel;1;slave-master;8;16384;755
channel;1;slave-master;8;32768;1218
channel;1;slave-master;8;65536;2017
channel;1;slave-master;8;131072;3614
channel;1;slave-master;8;262144;6810
channel;1;slave-master;8;524288;13201
channel;1;slave-master;8;1048576;26024
UsandoChannel!
channel;2;master-slave;8;1;172
channel;2;master-slave;8;2;168
channel;2;master-slave;8;4;171
channel;2;master-slave;8;8;160
channel;2;master-slave;8;16;162
channel;2;master-slave;8;32;172
channel;2;master-slave;8;64;163
channel;2;master-slave;8;128;168
channel;2;master-slave;8;256;177
channel;2;master-slave;8;512;195
channel;2;master-slave;8;1024;234
channel;2;master-slave;8;2048;306
channel;2;master-slave;8;4096;464
channel;2;master-slave;8;8192;755
channel;2;master-slave;8;16384;1348
channel;2;master-slave;8;32768;2535
channel;2;master-slave;8;65536;4916
channel;2;master-slave;8;131072;9673
channel;2;master-slave;8;262144;19196
channel;2;master-slave;8;524288;38223
channel;2;master-slave;8;1048576;76240
channel;2;slave-master;8;1;406
channel;2;slave-master;8;2;352
channel;2;slave-master;8;4;377
channel;2;slave-master;8;8;340
channel;2;slave-master;8;16;332
channel;2;slave-master;8;32;363
channel;2;slave-master;8;64;367
channel;2;slave-master;8;128;395
channel;2;slave-master;8;256;396
channel;2;slave-master;8;512;394
channel;2;slave-master;8;1024;395
channel;2;slave-master;8;2048;402
channel;2;slave-master;8;4096;546
channel;2;slave-master;8;8192;591
channel;2;slave-master;8;16384;759
channel;2;slave-master;8;32768;1222
channel;2;slave-master;8;65536;2017
channel;2;slave-master;8;131072;3613
channel;2;slave-master;8;262144;6810
channel;2;slave-master;8;524288;13199
channel;2;slave-master;8;1048576;26025
UsandoChannel!
channel;3;master-slave;8;1;169
channel;3;master-slave;8;2;167
channel;3;master-slave;8;4;170
channel;3;master-slave;8;8;160
channel;3;master-slave;8;16;162
channel;3;master-slave;8;32;167
channel;3;master-slave;8;64;163
channel;3;master-slave;8;128;169
channel;3;master-slave;8;256;177
channel;3;master-slave;8;512;195
channel;3;master-slave;8;1024;234
channel;3;master-slave;8;2048;305
channel;3;master-slave;8;4096;462
channel;3;master-slave;8;8192;750
channel;3;master-slave;8;16384;1347
channel;3;master-slave;8;32768;2535
channel;3;master-slave;8;65536;4919
channel;3;master-slave;8;131072;9673
channel;3;master-slave;8;262144;19197
channel;3;master-slave;8;524288;38220
channel;3;master-slave;8;1048576;76243
channel;3;slave-master;8;1;395
channel;3;slave-master;8;2;365
channel;3;slave-master;8;4;351
channel;3;slave-master;8;8;328
channel;3;slave-master;8;16;352
channel;3;slave-master;8;32;328
channel;3;slave-master;8;64;390
channel;3;slave-master;8;128;400
channel;3;slave-master;8;256;401
channel;3;slave-master;8;512;397
channel;3;slave-master;8;1024;396
channel;3;slave-master;8;2048;403
channel;3;slave-master;8;4096;546
channel;3;slave-master;8;8192;591
channel;3;slave-master;8;16384;758
channel;3;slave-master;8;32768;1227
channel;3;slave-master;8;65536;2018
channel;3;slave-master;8;131072;3619
channel;3;slave-master;8;262144;6814
channel;3;slave-master;8;524288;13201
channel;3;slave-master;8;1048576;26025
UsandoChannel!
channel;4;master-slave;8;1;167
channel;4;master-slave;8;2;171
channel;4;master-slave;8;4;166
channel;4;master-slave;8;8;160
channel;4;master-slave;8;16;163
channel;4;master-slave;8;32;167
channel;4;master-slave;8;64;169
channel;4;master-slave;8;128;168
channel;4;master-slave;8;256;176
