type;exec;direction;nb_clusters;size;time
Hello1
Masterbarrierwait
Slavebarrierwait
Masterbarrierend
Slavebarrierend
AllSlavesArrived:0
Hello2
UsandoChannel!
channel;1;master-slave;1;1;25
channel;1;master-slave;1;2;17
channel;1;master-slave;1;4;15
channel;1;master-slave;1;8;14
channel;1;master-slave;1;16;15
channel;1;master-slave;1;32;14
channel;1;master-slave;1;64;14
channel;1;master-slave;1;128;14
channel;1;master-slave;1;256;15
channel;1;master-slave;1;512;18
channel;1;master-slave;1;1024;22
channel;1;master-slave;1;2048;32
channel;1;master-slave;1;4096;50
channel;1;master-slave;1;8192;87
channel;1;master-slave;1;16384;161
channel;1;master-slave;1;32768;309
channel;1;master-slave;1;65536;610
channel;1;master-slave;1;131072;1202
channel;1;master-slave;1;262144;2390
channel;1;master-slave;1;524288;4775
channel;1;master-slave;1;1048576;9532
channel;1;slave-master;1;1;51
channel;1;slave-master;1;2;40
channel;1;slave-master;1;4;39
channel;1;slave-master;1;8;38
channel;1;slave-master;1;16;38
channel;1;slave-master;1;32;37
channel;1;slave-master;1;64;53
channel;1;slave-master;1;128;39
channel;1;slave-master;1;256;51
channel;1;slave-master;1;512;49
channel;1;slave-master;1;1024;50
channel;1;slave-master;1;2048;49
channel;1;slave-master;1;4096;71
channel;1;slave-master;1;8192;77
channel;1;slave-master;1;16384;95
channel;1;slave-master;1;32768;152
channel;1;slave-master;1;65536;252
channel;1;slave-master;1;131072;452
channel;1;slave-master;1;262144;851
channel;1;slave-master;1;524288;1650
channel;1;slave-master;1;1048576;3252
UsandoChannel!
channel;2;master-slave;1;1;20
channel;2;master-slave;1;2;15
channel;2;master-slave;1;4;14
channel;2;master-slave;1;8;13
channel;2;master-slave;1;16;13
channel;2;master-slave;1;32;15
channel;2;master-slave;1;64;14
channel;2;master-slave;1;128;15
channel;2;master-slave;1;256;16
channel;2;master-slave;1;512;18
channel;2;master-slave;1;1024;23
channel;2;master-slave;1;2048;32
channel;2;master-slave;1;4096;50
channel;2;master-slave;1;8192;87
channel;2;master-slave;1;16384;161
channel;2;master-slave;1;32768;314
channel;2;master-slave;1;65536;605
channel;2;master-slave;1;131072;1201
channel;2;master-slave;1;262144;2395
channel;2;master-slave;1;524288;4774
channel;2;master-slave;1;1048576;9533
channel;2;slave-master;1;1;54
channel;2;slave-master;1;2;40
channel;2;slave-master;1;4;39
channel;2;slave-master;1;8;38
channel;2;slave-master;1;16;38
channel;2;slave-master;1;32;42
channel;2;slave-master;1;64;38
channel;2;slave-master;1;128;50
channel;2;slave-master;1;256;50
channel;2;slave-master;1;512;51
channel;2;slave-master;1;1024;50
channel;2;slave-master;1;2048;51
channel;2;slave-master;1;4096;68
channel;2;slave-master;1;8192;75
channel;2;slave-master;1;16384;93
channel;2;slave-master;1;32768;152
channel;2;slave-master;1;65536;251
channel;2;slave-master;1;131072;451
channel;2;slave-master;1;262144;850
channel;2;slave-master;1;524288;1650
channel;2;slave-master;1;1048576;3251
UsandoChannel!
channel;3;master-slave;1;1;17
channel;3;master-slave;1;2;14
channel;3;master-slave;1;4;15
channel;3;master-slave;1;8;13
channel;3;master-slave;1;16;13
channel;3;master-slave;1;32;14
channel;3;master-slave;1;64;14
channel;3;master-slave;1;128;15
channel;3;master-slave;1;256;16
channel;3;master-slave;1;512;27
channel;3;master-slave;1;1024;22
channel;3;master-slave;1;2048;31
channel;3;master-slave;1;4096;50
channel;3;master-slave;1;8192;87
channel;3;master-slave;1;16384;161
channel;3;master-slave;1;32768;314
channel;3;master-slave;1;65536;605
channel;3;master-slave;1;131072;1207
channel;3;master-slave;1;262144;2391
channel;3;master-slave;1;524288;4775
channel;3;master-slave;1;1048576;9527
channel;3;slave-master;1;1;40
channel;3;slave-master;1;2;38
channel;3;slave-master;1;4;38
channel;3;slave-master;1;8;37
channel;3;slave-master;1;16;37
channel;3;slave-master;1;32;38
channel;3;slave-master;1;64;38
channel;3;slave-master;1;128;38
channel;3;slave-master;1;256;52
channel;3;slave-master;1;512;50
channel;3;slave-master;1;1024;50
channel;3;slave-master;1;2048;50
channel;3;slave-master;1;4096;67
channel;3;slave-master;1;8192;73
channel;3;slave-master;1;16384;93
channel;3;slave-master;1;32768;152
channel;3;slave-master;1;65536;250
channel;3;slave-master;1;131072;451
channel;3;slave-master;1;262144;850
channel;3;slave-master;1;524288;1650
channel;3;slave-master;1;1048576;3251
UsandoChannel!
channel;4;master-slave;1;1;16
channel;4;master-slave;1;2;15
channel;4;master-slave;1;4;15
channel;4;master-slave;1;8;13
channel;4;master-slave;1;16;14
channel;4;master-slave;1;32;14
channel;4;master-slave;1;64;14
channel;4;master-slave;1;128;15
channel;4;master-slave;1;256;15
channel;4;master-slave;1;512;18
channel;4;master-slave;1;1024;22
channel;4;master-slave;1;2048;32
channel;4;master-slave;1;4096;51
channel;4;master-slave;1;8192;87
channel;4;master-slave;1;16384;162
channel;4;master-slave;1;32768;309
channel;4;master-slave;1;65536;610
channel;4;master-slave;1;131072;1205
channel;4;master-slave;1;262144;2389
channel;4;master-slave;1;524288;4771
channel;4;master-slave;1;1048576;9527
channel;4;slave-master;1;1;44
channel;4;slave-master;1;2;39
channel;4;slave-master;1;4;37
channel;4;slave-master;1;8;38
channel;4;slave-master;1;16;38
channel;4;slave-master;1;32;37
channel;4;slave-master;1;64;38
channel;4;slave-master;1;128;38
channel;4;slave-master;1;256;50
channel;4;slave-master;1;512;49
channel;4;slave-master;1;1024;50
channel;4;slave-master;1;2048;55
channel;4;slave-master;1;4096;68
channel;4;slave-master;1;8192;74
channel;4;slave-master;1;16384;94
channel;4;slave-master;1;32768;152
channel;4;slave-master;1;65536;251
channel;4;slave-master;1;131072;451
channel;4;slave-master;1;262144;850
channel;4;slave-master;1;524288;1649
channel;4;slave-master;1;1048576;3251
UsandoChannel!
channel;5;master-slave;1;1;16
channel;5;master-slave;1;2;14
channel;5;master-slave;1;4;14
channel;5;master-slave;1;8;14
channel;5;master-slave;1;16;14
channel;5;master-slave;1;32;15
channel;5;master-slave;1;64;15
channel;5;master-slave;1;128;15
channel;5;master-slave;1;256;15
channel;5;master-slave;1;512;19
channel;5;master-slave;1;1024;23
channel;5;master-slave;1;2048;32
channel;5;master-slave;1;4096;50
channel;5;master-slave;1;8192;87
channel;5;master-slave;1;16384;161
channel;5;master-slave;1;32768;309
channel;5;master-slave;1;65536;610
channel;5;master-slave;1;131072;1205
channel;5;master-slave;1;262144;2390
channel;5;master-slave;1;524288;4772
channel;5;master-slave;1;1048576;9532
channel;5;slave-master;1;1;52
channel;5;slave-master;1;2;39
