Slavebarrierwait
Slavebarrierwait
Slavebarrierwait
Slavebarrierwait
Slavebarrierwait
Slavebarrierwait
Slavebarrierwait
Slavebarrierwait
Slavebarrierwait
Slavebarrierwait
Slavebarrierwait
Slavebarrierwait
Slavebarrierwait
Slavebarrierwait
type;exec;direction;nb_clusters;size;time
Hello1
Masterbarrierwait
Masterbarrierend
Masterbarrierend
Slavebarrierwait
Slavebarrierend
Slavebarrierend
Slavebarrierend
Slavebarrierend
Slavebarrierend
Slavebarrierend
Slavebarrierend
Slavebarrierend
Slavebarrierend
Slavebarrierend
Slavebarrierend
Slavebarrierend
Slavebarrierend
Slavebarrierend
Slavebarrierend
AllSlavesArrived:0
AllSlavesArrived:8
AllSlavesArrived:4
AllSlavesArrived:6
AllSlavesArrived:2
AllSlavesArrived:12
AllSlavesArrived:10
AllSlavesArrived:14
AllSlavesArrived:1
AllSlavesArrived:9
AllSlavesArrived:5
AllSlavesArrived:7
AllSlavesArrived:3
AllSlavesArrived:13
AllSlavesArrived:11
Hello2
UsandoChannel!
Slavebarrierwait
Slavebarrierend
AllSlavesArrived:15
channel;1;master-slave;16;1;5963
channel;1;master-slave;16;2;382
channel;1;master-slave;16;4;373
channel;1;master-slave;16;8;363
channel;1;master-slave;16;16;370
channel;1;master-slave;16;32;386
channel;1;master-slave;16;64;370
channel;1;master-slave;16;128;377
channel;1;master-slave;16;256;399
channel;1;master-slave;16;512;432
channel;1;master-slave;16;1024;508
channel;1;master-slave;16;2048;663
channel;1;master-slave;16;4096;956
channel;1;master-slave;16;8192;1552
channel;1;master-slave;16;16384;2741
channel;1;master-slave;16;32768;5120
channel;1;master-slave;16;65536;9878
channel;1;master-slave;16;131072;19397
channel;1;master-slave;16;262144;38423
channel;1;master-slave;16;524288;76490
channel;1;master-slave;16;1048576;152492
channel;1;slave-master;16;1;802
channel;1;slave-master;16;2;736
channel;1;slave-master;16;4;731
channel;1;slave-master;16;8;709
channel;1;slave-master;16;16;707
channel;1;slave-master;16;32;690
channel;1;slave-master;16;64;797
channel;1;slave-master;16;128;786
channel;1;slave-master;16;256;798
channel;1;slave-master;16;512;796
channel;1;slave-master;16;1024;802
channel;1;slave-master;16;2048;801
channel;1;slave-master;16;4096;1089
channel;1;slave-master;16;8192;1187
channel;1;slave-master;16;16384;1517
channel;1;slave-master;16;32768;2440
channel;1;slave-master;16;65536;4033
channel;1;slave-master;16;131072;7241
channel;1;slave-master;16;262144;13617
channel;1;slave-master;16;524288;26394
channel;1;slave-master;16;1048576;52071
UsandoChannel!
channel;2;master-slave;16;1;389
channel;2;master-slave;16;2;374
channel;2;master-slave;16;4;378
channel;2;master-slave;16;8;364
channel;2;master-slave;16;16;366
channel;2;master-slave;16;32;374
channel;2;master-slave;16;64;365
channel;2;master-slave;16;128;377
channel;2;master-slave;16;256;395
channel;2;master-slave;16;512;431
channel;2;master-slave;16;1024;512
channel;2;master-slave;16;2048;655
channel;2;master-slave;16;4096;954
channel;2;master-slave;16;8192;1548
channel;2;master-slave;16;16384;2739
channel;2;master-slave;16;32768;5118
channel;2;master-slave;16;65536;9879
channel;2;master-slave;16;131072;19390
channel;2;master-slave;16;262144;38430
channel;2;master-slave;16;524288;76491
channel;2;master-slave;16;1048576;152484
channel;2;slave-master;16;1;801
channel;2;slave-master;16;2;718
channel;2;slave-master;16;4;773
channel;2;slave-master;16;8;729
channel;2;slave-master;16;16;726
channel;2;slave-master;16;32;741
channel;2;slave-master;16;64;764
channel;2;slave-master;16;128;797
channel;2;slave-master;16;256;794
channel;2;slave-master;16;512;796
channel;2;slave-master;16;1024;787
channel;2;slave-master;16;2048;803
channel;2;slave-master;16;4096;1070
channel;2;slave-master;16;8192;1185
channel;2;slave-master;16;16384;1511
channel;2;slave-master;16;32768;2439
channel;2;slave-master;16;65536;4034
channel;2;slave-master;16;131072;7241
channel;2;slave-master;16;262144;13618
channel;2;slave-master;16;524288;26402
channel;2;slave-master;16;1048576;52066
UsandoChannel!
channel;3;master-slave;16;1;377
channel;3;master-slave;16;2;374
channel;3;master-slave;16;4;374
channel;3;master-slave;16;8;364
channel;3;master-slave;16;16;370
channel;3;master-slave;16;32;379
channel;3;master-slave;16;64;377
channel;3;master-slave;16;128;383
channel;3;master-slave;16;256;404
channel;3;master-slave;16;512;431
channel;3;master-slave;16;1024;507
channel;3;master-slave;16;2048;662
channel;3;master-slave;16;4096;954
channel;3;master-slave;16;8192;1553
channel;3;master-slave;16;16384;2740
channel;3;master-slave;16;32768;5117
channel;3;master-slave;16;65536;9878
channel;3;master-slave;16;131072;19398
channel;3;master-slave;16;262144;38425
channel;3;master-slave;16;524288;76496
channel;3;master-slave;16;1048576;152488
channel;3;slave-master;16;1;796
channel;3;slave-master;16;2;725
channel;3;slave-master;16;4;739
channel;3;slave-master;16;8;711
channel;3;slave-master;16;16;682
channel;3;slave-master;16;32;728
channel;3;slave-master;16;64;763
channel;3;slave-master;16;128;797
channel;3;slave-master;16;256;800
channel;3;slave-master;16;512;797
channel;3;slave-master;16;1024;797
channel;3;slave-master;16;2048;801
channel;3;slave-master;16;4096;1088
channel;3;slave-master;16;8192;1189
channel;3;slave-master;16;16384;1511
channel;3;slave-master;16;32768;2437
channel;3;slave-master;16;65536;4034
channel;3;slave-master;16;131072;7235
channel;3;slave-master;16;262144;13622
channel;3;slave-master;16;524288;26400
channel;3;slave-master;16;1048576;52067
UsandoChannel!
channel;4;master-slave;16;1;375
channel;4;master-slave;16;2;373
channel;4;master-slave;16;4;377
channel;4;master-slave;16;8;364
channel;4;master-slave;16;16;366
channel;4;master-slave;16;32;375
channel;4;master-slave;16;64;367
channel;4;master-slave;16;128;376
channel;4;master-slave;16;256;394
channel;4;master-slave;16;512;436
channel;4;master-slave;16;1024;513
channel;4;master-slave;16;2048;655
channel;4;master-slave;16;4096;956
channel;4;master-slave;16;8192;1548
channel;4;master-slave;16;16384;2736
channel;4;master-slave;16;32768;5122
channel;4;master-slave;16;65536;9878
channel;4;master-slave;16;131072;19392
channel;4;master-slave;16;262144;38430
channel;4;master-slave;16;524288;76490
channel;4;master-slave;16;1048576;152480
channel;4;slave-master;16;1;805
channel;4;slave-master;16;2;753
channel;4;slave-master;16;4;741
channel;4;slave-master;16;8;706
channel;4;slave-master;16;16;704
channel;4;slave-master;16;32;735
channel;4;slave-master;16;64;783
channel;4;slave-master;16;128;800
channel;4;slave-master;16;256;792
channel;4;slave-master;16;512;795
channel;4;slave-master;16;1024;797
channel;4;slave-master;16;2048;802
channel;4;slave-master;16;4096;1089
channel;4;slave-master;16;8192;1184
