Slavebarrierwait
Slavebarrierwait
type;exec;direction;nb_clusters;size;time
Hello1
Masterbarrierwait
Masterbarrierend
Masterbarrierend
Slavebarrierwait
Slavebarrierend
Slavebarrierend
Slavebarrierend
AllSlavesArrived:0
AllSlavesArrived:2
AllSlavesArrived:1
Hello2
UsandoChannel!
Slavebarrierwait
Slavebarrierend
AllSlavesArrived:3
channel;1;master-slave;4;1;48532
channel;1;master-slave;4;2;81
channel;1;master-slave;4;4;77
channel;1;master-slave;4;8;73
channel;1;master-slave;4;16;74
channel;1;master-slave;4;32;76
channel;1;master-slave;4;64;75
channel;1;master-slave;4;128;76
channel;1;master-slave;4;256;81
channel;1;master-slave;4;512;91
channel;1;master-slave;4;1024;109
channel;1;master-slave;4;2048;147
channel;1;master-slave;4;4096;220
channel;1;master-slave;4;8192;373
channel;1;master-slave;4;16384;663
channel;1;master-slave;4;32768;1261
channel;1;master-slave;4;65536;2448
channel;1;master-slave;4;131072;4830
channel;1;master-slave;4;262144;9586
channel;1;master-slave;4;524288;19105
channel;1;master-slave;4;1048576;38121
channel;1;slave-master;4;1;204
channel;1;slave-master;4;2;180
channel;1;slave-master;4;4;187
channel;1;slave-master;4;8;166
channel;1;slave-master;4;16;171
channel;1;slave-master;4;32;166
channel;1;slave-master;4;64;196
channel;1;slave-master;4;128;198
channel;1;slave-master;4;256;197
channel;1;slave-master;4;512;197
channel;1;slave-master;4;1024;198
channel;1;slave-master;4;2048;199
channel;1;slave-master;4;4096;275
channel;1;slave-master;4;8192;298
channel;1;slave-master;4;16384;382
channel;1;slave-master;4;32768;610
channel;1;slave-master;4;65536;1013
channel;1;slave-master;4;131072;1806
channel;1;slave-master;4;262144;3404
channel;1;slave-master;4;524288;6603
channel;1;slave-master;4;1048576;13009
UsandoChannel!
channel;2;master-slave;4;1;81
channel;2;master-slave;4;2;76
channel;2;master-slave;4;4;76
channel;2;master-slave;4;8;73
channel;2;master-slave;4;16;74
channel;2;master-slave;4;32;77
channel;2;master-slave;4;64;74
channel;2;master-slave;4;128;77
channel;2;master-slave;4;256;82
channel;2;master-slave;4;512;90
channel;2;master-slave;4;1024;109
channel;2;master-slave;4;2048;146
channel;2;master-slave;4;4096;220
channel;2;master-slave;4;8192;368
channel;2;master-slave;4;16384;672
channel;2;master-slave;4;32768;1260
channel;2;master-slave;4;65536;2449
channel;2;master-slave;4;131072;4828
channel;2;master-slave;4;262144;9592
channel;2;master-slave;4;524288;19102
channel;2;master-slave;4;1048576;38121
channel;2;slave-master;4;1;204
channel;2;slave-master;4;2;175
channel;2;slave-master;4;4;176
channel;2;slave-master;4;8;176
channel;2;slave-master;4;16;164
channel;2;slave-master;4;32;186
channel;2;slave-master;4;64;175
channel;2;slave-master;4;128;186
channel;2;slave-master;4;256;198
channel;2;slave-master;4;512;197
channel;2;slave-master;4;1024;198
channel;2;slave-master;4;2048;203
channel;2;slave-master;4;4096;273
channel;2;slave-master;4;8192;296
channel;2;slave-master;4;16384;376
channel;2;slave-master;4;32768;609
channel;2;slave-master;4;65536;1008
channel;2;slave-master;4;131072;1807
channel;2;slave-master;4;262144;3403
channel;2;slave-master;4;524288;6604
channel;2;slave-master;4;1048576;13015
UsandoChannel!
channel;3;master-slave;4;1;78
channel;3;master-slave;4;2;76
channel;3;master-slave;4;4;76
channel;3;master-slave;4;8;74
channel;3;master-slave;4;16;74
channel;3;master-slave;4;32;81
channel;3;master-slave;4;64;75
channel;3;master-slave;4;128;77
channel;3;master-slave;4;256;82
channel;3;master-slave;4;512;90
channel;3;master-slave;4;1024;109
channel;3;master-slave;4;2048;147
channel;3;master-slave;4;4096;225
channel;3;master-slave;4;8192;368
channel;3;master-slave;4;16384;664
channel;3;master-slave;4;32768;1266
channel;3;master-slave;4;65536;2454
channel;3;master-slave;4;131072;4833
channel;3;master-slave;4;262144;9591
channel;3;master-slave;4;524288;19105
channel;3;master-slave;4;1048576;38122
channel;3;slave-master;4;1;201
channel;3;slave-master;4;2;174
channel;3;slave-master;4;4;169
channel;3;slave-master;4;8;176
channel;3;slave-master;4;16;175
channel;3;slave-master;4;32;180
channel;3;slave-master;4;64;186
channel;3;slave-master;4;128;198
channel;3;slave-master;4;256;198
channel;3;slave-master;4;512;199
channel;3;slave-master;4;1024;198
channel;3;slave-master;4;2048;198
channel;3;slave-master;4;4096;272
channel;3;slave-master;4;8192;299
channel;3;slave-master;4;16384;376
channel;3;slave-master;4;32768;614
channel;3;slave-master;4;65536;1013
channel;3;slave-master;4;131072;1807
channel;3;slave-master;4;262144;3409
channel;3;slave-master;4;524288;6599
channel;3;slave-master;4;1048576;13008
UsandoChannel!
channel;4;master-slave;4;1;78
channel;4;master-slave;4;2;76
channel;4;master-slave;4;4;76
channel;4;master-slave;4;8;72
channel;4;master-slave;4;16;74
channel;4;master-slave;4;32;75
channel;4;master-slave;4;64;74
channel;4;master-slave;4;128;81
channel;4;master-slave;4;256;81
channel;4;master-slave;4;512;91
channel;4;master-slave;4;1024;109
channel;4;master-slave;4;2048;147
channel;4;master-slave;4;4096;220
channel;4;master-slave;4;8192;372
channel;4;master-slave;4;16384;669
channel;4;master-slave;4;32768;1265
channel;4;master-slave;4;65536;2449
channel;4;master-slave;4;131072;4830
channel;4;master-slave;4;262144;9586
channel;4;master-slave;4;524288;19106
channel;4;master-slave;4;1048576;38120
channel;4;slave-master;4;1;200
channel;4;slave-master;4;2;177
channel;4;slave-master;4;4;187
channel;4;slave-master;4;8;164
channel;4;slave-master;4;16;185
channel;4;slave-master;4;32;165
channel;4;slave-master;4;64;186
channel;4;slave-master;4;128;190
channel;4;slave-master;4;256;203
channel;4;slave-master;4;512;203
channel;4;slave-master;4;1024;208
channel;4;slave-master;4;2048;200
channel;4;slave-master;4;4096;270
channel;4;slave-master;4;8192;296
channel;4;slave-master;4;16384;377
channel;4;slave-master;4;32768;608
channel;4;slave-master;4;65536;1007
channel;4;slave-master;4;131072;1816
channel;4;slave-master;4;262144;3403
channel;4;slave-master;4;524288;6599
channel;4;slave-master;4;1048576;13010
UsandoChannel!
channel;5;master-slave;4;1;78
channel;5;master-slave;4;2;76
channel;5;master-slave;4;4;76
channel;5;master-slave;4;8;73
channel;5;master-slave;4;16;74
channel;5;master-slave;4;32;77
channel;5;master-slave;4;64;74
channel;5;master-slave;4;128;77
channel;5;master-slave;4;256;81
channel;5;master-slave;4;512;90
channel;5;master-slave;4;1024;109
channel;5;master-slave;4;2048;146
channel;5;master-slave;4;4096;221
channel;5;master-slave;4;8192;376
channel;5;master-slave;4;16384;663
channel;5;master-slave;4;32768;1260
