Slavebarrierwait
Slavebarrierwait
Slavebarrierwait
Slavebarrierwait
Slavebarrierwait
Slavebarrierwait
type;exec;direction;nb_clusters;size;time
Hello1
Masterbarrierwait
Masterbarrierend
Masterbarrierend
Slavebarrierwait
Slavebarrierend
Slavebarrierend
Slavebarrierend
Slavebarrierend
Slavebarrierend
Slavebarrierend
Slavebarrierend
AllSlavesArrived:0
AllSlavesArrived:6
AllSlavesArrived:4
AllSlavesArrived:2
AllSlavesArrived:1
AllSlavesArrived:5
AllSlavesArrived:3
Hello2
UsandoChannel!
Slavebarrierwait
Slavebarrierend
AllSlavesArrived:7
channel;1;master-slave;8;1;33848
channel;1;master-slave;8;2;171
channel;1;master-slave;8;4;167
channel;1;master-slave;8;8;160
channel;1;master-slave;8;16;163
channel;1;master-slave;8;32;167
channel;1;master-slave;8;64;163
channel;1;master-slave;8;128;173
channel;1;master-slave;8;256;187
channel;1;master-slave;8;512;200
channel;1;master-slave;8;1024;237
channel;1;master-slave;8;2048;305
channel;1;master-slave;8;4096;455
channel;1;master-slave;8;8192;755
channel;1;master-slave;8;16384;1348
channel;1;master-slave;8;32768;2540
channel;1;master-slave;8;65536;4920
channel;1;master-slave;8;131072;9677
channel;1;master-slave;8;262144;19193
channel;1;master-slave;8;524288;38222
channel;1;master-slave;8;1048576;76244
channel;1;slave-master;8;1;400
channel;1;slave-master;8;2;346
channel;1;slave-master;8;4;341
channel;1;slave-master;8;8;350
channel;1;slave-master;8;16;345
channel;1;slave-master;8;32;361
channel;1;slave-master;8;64;384
channel;1;slave-master;8;128;368
channel;1;slave-master;8;256;400
channel;1;slave-master;8;512;401
channel;1;slave-master;8;1024;401
channel;1;slave-master;8;2048;397
channel;1;slave-master;8;4096;545
channel;1;slave-master;8;8192;592
channel;1;slave-master;8;16384;753
channel;1;slave-master;8;32768;1219
channel;1;slave-master;8;65536;2030
channel;1;slave-master;8;131072;3617
channel;1;slave-master;8;262144;6808
channel;1;slave-master;8;524288;13197
channel;1;slave-master;8;1048576;26025
UsandoChannel!
channel;2;master-slave;8;1;171
channel;2;master-slave;8;2;168
channel;2;master-slave;8;4;165
channel;2;master-slave;8;8;160
channel;2;master-slave;8;16;163
channel;2;master-slave;8;32;167
channel;2;master-slave;8;64;163
channel;2;master-slave;8;128;173
channel;2;master-slave;8;256;177
channel;2;master-slave;8;512;196
channel;2;master-slave;8;1024;233
channel;2;master-slave;8;2048;312
channel;2;master-slave;8;4096;455
channel;2;master-slave;8;8192;756
channel;2;master-slave;8;16384;1348
channel;2;master-slave;8;32768;2539
channel;2;master-slave;8;65536;4916
channel;2;master-slave;8;131072;9677
channel;2;master-slave;8;262144;19192
channel;2;master-slave;8;524288;38224
channel;2;master-slave;8;1048576;76248
channel;2;slave-master;8;1;404
channel;2;slave-master;8;2;340
channel;2;slave-master;8;4;351
channel;2;slave-master;8;8;350
channel;2;slave-master;8;16;328
channel;2;slave-master;8;32;340
channel;2;slave-master;8;64;384
channel;2;slave-master;8;128;406
channel;2;slave-master;8;256;401
channel;2;slave-master;8;512;399
channel;2;slave-master;8;1024;400
channel;2;slave-master;8;2048;402
channel;2;slave-master;8;4096;543
channel;2;slave-master;8;8192;589
channel;2;slave-master;8;16384;758
channel;2;slave-master;8;32768;1220
channel;2;slave-master;8;65536;2017
channel;2;slave-master;8;131072;3618
channel;2;slave-master;8;262144;6812
channel;2;slave-master;8;524288;13202
channel;2;slave-master;8;1048576;26023
UsandoChannel!
channel;3;master-slave;8;1;178
channel;3;master-slave;8;2;171
channel;3;master-slave;8;4;167
channel;3;master-slave;8;8;159
channel;3;master-slave;8;16;164
channel;3;master-slave;8;32;168
channel;3;master-slave;8;64;172
channel;3;master-slave;8;128;167
channel;3;master-slave;8;256;179
channel;3;master-slave;8;512;196
channel;3;master-slave;8;1024;233
channel;3;master-slave;8;2048;312
channel;3;master-slave;8;4096;459
channel;3;master-slave;8;8192;751
channel;3;master-slave;8;16384;1347
channel;3;master-slave;8;32768;2539
channel;3;master-slave;8;65536;4917
channel;3;master-slave;8;131072;9672
channel;3;master-slave;8;262144;19197
channel;3;master-slave;8;524288;38224
channel;3;master-slave;8;1048576;76241
channel;3;slave-master;8;1;406
channel;3;slave-master;8;2;352
channel;3;slave-master;8;4;339
channel;3;slave-master;8;8;327
channel;3;slave-master;8;16;317
channel;3;slave-master;8;32;351
channel;3;slave-master;8;64;391
channel;3;slave-master;8;128;396
channel;3;slave-master;8;256;396
channel;3;slave-master;8;512;395
channel;3;slave-master;8;1024;396
channel;3;slave-master;8;2048;402
channel;3;slave-master;8;4096;527
channel;3;slave-master;8;8192;591
channel;3;slave-master;8;16384;761
channel;3;slave-master;8;32768;1220
channel;3;slave-master;8;65536;2015
channel;3;slave-master;8;131072;3615
channel;3;slave-master;8;262144;6812
channel;3;slave-master;8;524288;13198
channel;3;slave-master;8;1048576;26031
UsandoChannel!
channel;4;master-slave;8;1;167
channel;4;master-slave;8;2;167
channel;4;master-slave;8;4;170
channel;4;master-slave;8;8;160
channel;4;master-slave;8;16;164
channel;4;master-slave;8;32;168
channel;4;master-slave;8;64;163
channel;4;master-slave;8;128;167
channel;4;master-slave;8;256;176
channel;4;master-slave;8;512;196
channel;4;master-slave;8;1024;233
channel;4;master-slave;8;2048;305
channel;4;master-slave;8;4096;460
channel;4;master-slave;8;8192;756
channel;4;master-slave;8;16384;1347
channel;4;master-slave;8;32768;2539
channel;4;master-slave;8;65536;4911
channel;4;master-slave;8;131072;9673
channel;4;master-slave;8;262144;19197
channel;4;master-slave;8;524288;38224
channel;4;master-slave;8;1048576;76239
channel;4;slave-master;8;1;396
channel;4;slave-master;8;2;362
channel;4;slave-master;8;4;367
channel;4;slave-master;8;8;328
channel;4;slave-master;8;16;361
channel;4;slave-master;8;32;350
channel;4;slave-master;8;64;367
channel;4;slave-master;8;128;376
channel;4;slave-master;8;256;396
channel;4;slave-master;8;512;396
channel;4;slave-master;8;1024;396
channel;4;slave-master;8;2048;397
channel;4;slave-master;8;4096;544
channel;4;slave-master;8;8192;594
channel;4;slave-master;8;16384;753
channel;4;slave-master;8;32768;1221
channel;4;slave-master;8;65536;2026
channel;4;slave-master;8;131072;3614
channel;4;slave-master;8;262144;6814
channel;4;slave-master;8;524288;13202
channel;4;slave-master;8;1048576;26024
UsandoChannel!
channel;5;master-slave;8;1;167
channel;5;master-slave;8;2;168
channel;5;master-slave;8;4;166
channel;5;master-slave;8;8;160
channel;5;master-slave;8;16;161
channel;5;master-slave;8;32;176
channel;5;master-slave;8;64;162
channel;5;master-slave;8;128;168
